,word,encodec Encodec,Encodec Mel,w2v
353,epilepsy,"['me', 'me', 'me', 'me', 'me']","['lily', 'lily', 'sadly', 'recipe', 'me']","['opposite', 'nile', 'difficult', 'twelfth', 'alimony']"
354,mask,"['eye', 'eye', 'inn', 'inn', 'man']","['ask', 'ask', 'ask', 'ask', 'ask']","['task', 'task', 'schismatics', 'staff', 'matched']"
355,orbit,"['river', 'river', 'river', 'gorge', 'gorge']","['it', 'it', 'it', 'it', 'it']","['gorge', 'gorge', 'gorge', 'it', 'it']"
356,grandam,"['man', 'e', 'man', 'man', 'man']","['man', 'man', 'man', 'man', 'man']","['man', 'man', 'man', 'man', 'man']"
357,lice,"['all', 'all', 'all', 'all', 'law']","['eyes', 'eyes', 'eyes', 'eyes', 'eyes']","['eyes', 'loss', 'eyes', 'slice', 'cells']"
358,passport,"['talent', 'penalty', 'tower', 'cash', 'price']","['talent', 'repaired', 'pranks', 'penalty', 'servant']","['price', 'talks', 'pour', 'ploughed', 'accidental']"
359,beam,"['mean', 'mean', 'mean', 'need', 'you']","['mean', 'mean', 'mean', 'mean', 'mean']","['bean', 'bean', 'be', 'be', 'be']"
360,robs,"['rubbed', 'rubbed', 'right', 'right', 'bar']","['rose', 'right', 'rose', 'right', 'right']","['rod', 'rod', 'owes', 'owe', 'rubbed']"
361,slippers,"['soldier', 'sunk', 'serge', 'his', 'distinctly']","['is', 'is', 'is', 'is', 'is']","['fellows', 'the', 'the', 'the', 'the']"
362,snugly,"['heal', 'blade', 'use', 'trees', 'need']","['trees', 'trees', 'trees', 'le', 'ceaselessly']","['misuse', 'seas', 'limit', 'suns', 'descendants']"
363,overheard,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['over', 'over', 'over', 'over', 'over']"
364,indulge,"['all', 'all', 'all', 'all', 'all']","['old', 'old', 'old', 'old', 'old']","['dull', 'old', 'dull', 'metal', 'old']"
365,alabama,"['on', 'on', 'on', 'on', 'on']","['out', 'our', 'our', 'out', 'out']","['mall', 'on', 'on', 'on', 'on']"
366,caisson,"['tahoe', 'on', 'aim', 'line', 'me']","['hide', 'assassin', 'side', 'masses', 'side']","['on', 'on', 'on', 'on', 'on']"
367,undisturbed,"['middle', 'fury', 'domed', 'arena', 'looming']","['in', 'in', 'wherein', 'in', 'in']","['domed', 'looming', 'deserted', 'existing', 'league']"
368,halfpenny,"['had', 'had', 'had', 'had', 'had']","['half', 'half', 'half', 'half', 'half']","['half', 'half', 'half', 'half', 'half']"
369,forbearance,"['rarer', 'formulas', 'order', 'varied', 'primary']","['for', 'for', 'four', 'four', 'for']","['earn', 'adrift', 'rum', 'revered', 'adorned']"
370,lantern,"['reign', 'him', 'him', 'iona', 'him']","['him', 'him', 'him', 'him', 'him']","['him', 'him', 'him', 'him', 'him']"
371,ungrateful,"['una', 'line', 'e', 'anger', 'in']","['rolled', 'real', 'rolled', 'old', 'old']","['ink', 'fruitful', 'great', 'great', 'contingent']"
372,patrick,"['cuthbert', 'tara', 'backs', 'architects', 'back']","['path', 'path', 'path', 'path', 'back']","['path', 'path', 'path', 'path', 'path']"
373,magdalen,"['una', 'in', 'e', 'in', 'in']","['in', 'in', 'in', 'in', 'in']","['man', 'man', 'man', 'man', 'man']"
374,druidism,"['converted', 'conversion', 'noon', 'moving', 'control']","['room', 'room', 'room', 'room', 'room']","['limit', 'rudely', 'revered', 'roses', 'earn']"
375,urania,"['manly', 'army', 'rain', 'mine', 'raw']","['your', 'your', 'your', 'your', 'your']","['rain', 'remind', 'memorandum', 'manly', 'e']"
376,icebergs,"['curiously', 'male', 'ride', 'ghost', 'weeks']","['hers', 'hers', 'hers', 'says', 'says']","['oysters', 'space', 'herbs', 'space', 'rocks']"
377,consistency,"['instance', 'since', 'seeds', 'since', 'since']","['see', 'see', 'see', 'see', 'see']","['slices', 'slices', 'slices', 'misuse', 'consisted']"
378,exacted,"['a', 'icy', 'rising', 'a', 'a']","['his', 'his', 'his', 'his', 'his']","['its', 'its', 'its', 'its', 'its']"
379,distinctively,"['ceiling', 'schloss', 'pleasing', 'fully', 'dainty']","['to', 'to', 'to', 'to', 'to']","['indistinct', 'existing', 'indistinctly', 'instinctive', 'league']"
380,famine,"['vine', 'eh', 'dome', 'am', 'am']","['man', 'man', 'man', 'am', 'am']","['chapman', 'memorandum', 'man', 'man', 'feather']"
381,scar,"['eye', 'eye', 'eye', 'wax', 'sighed']","['sighed', 'god', 'cargo', 'sorrow', 'god']","['secesh', 'frost', 'sauce', 'frost', 'scum']"
382,artificial,"['barrel', 'yard', 'overwhelming', 'reviewer', 'hell']","['barrel', 'shoulder', 'shoulder', 'show', 'shoulder']","['hell', 'hell', 'hell', 'hell', 'scriptures']"
383,mustering,"['in', 'in', 'in', 'in', 'in']","['must', 'must', 'must', 'must', 'must']","['muster', 'string', 'warning', 'sutter', 'the']"
384,generations,"['commissioned', 'june', 'feverishly', 'confusion', 'shadows']","['attention', 'attention', 'attention', 'perdition', 'nation']","['leash', 'situation', 'situation', 'hand', 'hand']"
385,disorder,"['or', 'or', 'or', 'or', 'or']","['her', 'her', 'her', 'her', 'her']","['beer', 'reviewer', 'dresser', 'dormitory', 'jersey']"
386,darning,"['our', 'our', 'our', 'our', 'our']","['our', 'our', 'our', 'our', 'our']","['earn', 'earn', 'murmur', 'rhyme', 'wrung']"
387,bowl,"['mould', 'old', 'old', 'all', 'old']","['mould', 'old', 'old', 'old', 'old']","['hull', 'rolled', 'old', 'whirl', 'old']"
388,containing,"['in', 'in', 'in', 'in', 'in']","['came', 'came', 'came', 'came', 'came']","['han', 'continue', 'regaining', 'in', 'in']"
389,egoism,"['in', 'in', 'in', 'in', 'in']","['removing', 'eat', 'were', 'were', 'were']","['league', 'easy', 'jingo', 'easy', 'union']"
390,approvingly,"['aid', 'ability', 'longingly', 'borrowing', 'line']","['professor', 'professor', 'longingly', 'chunky', 'diminishing']","['longingly', 'wonderingly', 'comfortingly', 'knowingly', 'foreman']"
391,accepts,"['us', 'sets', 'class', 'us', 'us']","['ex', 'six', 'ex', 'step', 'step']","['exiles', 'accept', 'accept', 'exiles', 'except']"
392,pots,"['popped', 'hope', 'loft', 'gifted', 'hope']","['loft', 'popped', 'whole', 'the', 'whole']","['fuchs', 'poets', 'thoughts', 'loft', 'popped']"
393,deriving,"['union', 'reign', 'e', 'eye', 'i']","['i', 'i', 'i', 'i', 'i']","['arrive', 'repairing', 'lying', 'divide', 'divided']"
394,magnetism,"['morrel', 'morrel', 'inhale', 'in', 'in']","['valentine', 'gentleman', 'beloved', 'in', 'in']","['senses', 'in', 'in', 'sentiment', 'in']"
395,fraid,"['guard', 'forever', 'arc', 'version', 'o']","['fervor', 'freed', 'for', 'fairs', 'for']","['fire', 'fire', 'fought', 'fire', 'fight']"
396,eyelashes,"['i', 'i', 'i', 'i', 'i']","['eyes', 'eyes', 'eyes', 'eyes', 'eyes']","['eyes', 'eyes', 'eyes', 'eyes', 'eyes']"
397,rufus,"['feud', 'does', 'does', 'was', 'was']","['fool', 'roof', 'roof', 'roof', 'roof']","['was', 'was', 'was', 'was', 'was']"
398,thighs,"['eyes', 'eyes', 'eyes', 'eyes', 'eyes']","['eyes', 'eyes', 'eyes', 'eyes', 'eyes']","['eyes', 'eyes', 'eyes', 'eyes', 'eyes']"
399,wears,"['aware', 'aware', 'aware', 'aware', 'aware']","['aware', 'aware', 'aware', 'aware', 'aware']","['aware', 'aware', 'aware', 'aware', 'aware']"
400,afresh,"['she', 'she', 'she', 'she', 'she']","['flesh', 'slush', 'flesh', 'flesh', 'flesh']","['fresh', 'fresh', 'fresh', 'fresh', 'flesh']"
401,wielded,"['little', 'little', 'little', 'little', 'little']","['will', 'will', 'will', 'will', 'will']","['sealed', 'will', 'will', 'will', 'will']"
402,deftly,"['faded', 'teeth', 'shadows', 'teeth', 'sliced']","['leaf', 'leaf', 'bartley', 'bartley', 'bartley']","['feverishly', 'weakly', 'slush', 'bliss', 'leash']"
403,pastry,"['lay', 'lay', 'yeast', 'yeast', 'mildew']","['trees', 'sea', 'sea', 'sea', 'trees']","['teepee', 'aidan', 'hasty', 'trees', 'peas']"
404,gripped,"['quick', 'trip', 'quick', 'dost', 'quick']","['trip', 'cruel', 'trip', 'trip', 'grip']","['grip', 'trip', 'whipped', 'picked', 'picked']"
405,woodland,"['the', 'the', 'the', 'the', 'the']","['would', 'would', 'would', 'would', 'will']","['wooden', 'little', 'little', 'little', 'little']"
406,porous,"['are', 'are', 'are', 'are', 'were']","['poor', 'poor', 'poor', 'poor', 'poor']","['poor', 'poor', 'poor', 'poor', 'wealth']"
407,periodical,"['ladder', 'year', 'deal', 'year', 'highway']","['period', 'period', 'period', 'period', 'period']","['theological', 'mosaic', 'theology', 'polar', 'rout']"
408,conjured,"['our', 'our', 'our', 'our', 'our']","['our', 'our', 'our', 'her', 'her']","['restored', 'rout', 'enraged', 'matter', 'matter']"
409,buttony,"['knelt', 'e', 'openly', 'rouse', 'bore']","['me', 'me', 'me', 'me', 'me']","['butler', 'butler', 'buttoned', 'bony', 'semi']"
410,usurping,"['seated', 'soon', 'soon', 'soon', 'soon']","['seated', 'sharper', 'same', 'same', 'sumter']","['fearing', 'fearing', 'seated', 'sought', 'earnest']"
411,entreated,"['had', 'had', 'had', 'had', 'had']","['did', 'did', 'did', 'did', 'did']","['treated', 'treated', 'did', 'did', 'did']"
412,entirety,"['in', 'in', 'ladder', 'ring', 'ring']","['shady', 'shady', 'whiting', 'daughter', 'variety']","['deity', 'enraged', 'matting', 'rein', 'humanity']"
413,curl,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['earn', 'occur', 'earn', 'girl', 'pearls']"
414,badgers,"['vouch', 'warrior', 'marriage', 'rigid', 'prayer']","['powers', 'powers', 'ears', 'writers', 'ears']","['beer', 'matter', 'prayers', 'prayers', 'matter']"
415,gaping,"['be', 'be', 'be', 'king', 'be']","['gave', 'gave', 'gave', 'gave', 'gave']","['be', 'be', 'neat', 'agreeing', 'ink']"
416,moines,"['wayne', 'reign', 'iona', 'reign', 'iona']","['reign', 'reign', 'wayne', 'warm', 'warm']","['reign', 'wayne', 'reign', 'groans', 'rome']"
417,chewed,"['she', 'she', 'she', 'she', 'she']","['you', 'she', 'you', 'you', 'she']","['choose', 'choose', 'should', 'should', 'should']"
418,trucks,"['shot', 'us', 'us', 'syrtis', 'syrtis']","['us', 'us', 'us', 'us', 'us']","['shrimps', 'trap', 'trap', 'trap', 'rocks']"
419,savour,"['ere', 'rearward', 'vision', 'thy', 'your']","['say', 'say', 'say', 'say', 'say']","['duties', 'reviewers', 'features', 'stage', 'rave']"
420,fred,"['for', 'for', 'for', 'for', 'for']","['fifth', 'fifth', 'fifth', 'for', 'for']","['for', 'chef', 'for', 'chef', 'for']"
421,questionable,"['oil', 'hall', 'home', 'home', 'home']","['oil', 'oil', 'you', 'you', 'mackerel']","['quarrel', 'all', 'quarrel', 'all', 'all']"
422,crags,"['line', 'high', 'bank', 'chaparral', 'eye']","['crash', 'crash', 'grass', 'grave', 'grave']","['hair', 'fairy', 'crash', 'flag', 'hair']"
423,hanson,"['him', 'him', 'him', 'him', 'hands']","['hand', 'hand', 'hand', 'hand', 'hand']","['in', 'in', 'in', 'in', 'in']"
424,resident,"['wrung', 'mosaic', 'wry', 'bells', 'build']","['as', 'as', 'as', 'as', 'as']","['memorandum', 'gentile', 'roses', 'sense', 'sense']"
425,educating,"['indian', 'indian', 'indian', 'indian', 'indian']","['age', 'age', 'age', 'age', 'age']","['aidan', 'eddying', 'ink', 'vindicated', 'contingent']"
426,pioneer,"['are', 'very', 'very', 'are', 'very']","['e', 'near', 'near', 'near', 'new']","['near', 'near', 'near', 'near', 'near']"
427,trubner,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']"
428,agrees,"['easy', 'year', 'you', 'greedy', 'you']","['grew', 'grew', 'grew', 'greedy', 'grew']","['agree', 'degree', 'degree', 'use', 'use']"
429,spots,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['thoughts', 'thoughts', 'thoughts', 'thoughts', 'thoughts']"
