,word,encodec ec,encodec mel,w2v
366,ourselves,"['swelled', 'us', 'alone', 'us', 'us']","['cells', 'cells', 'health', 'health', 'us']","['us', 'us', 'us', 'us', 'us']"
367,spend,"['sent', 'send', 'send', 'spent', 'supply']","['spent', 'spent', 'sent', 'since', 'since']","['the', 'the', 'the', 'the', 'the']"
368,historians,"['man', 'known', 'known', 'man', 'family']","['rear', 'is', 'is', 'is', 'is']","['muster', 'rulers', 'cousins', 'schloss', 'vision']"
369,virgin,"['version', 'word', 'herb', 'word', 'nazarenes']","['version', 'virgil', 'rumor', 'version', 'udder']","['version', 'of', 'reviewer', 'of', 'of']"
370,unto,"['una', 'in', 'in', 'in', 'in']","['to', 'to', 'to', 'to', 'to']","['to', 'to', 'to', 'to', 'to']"
371,lives,"['little', 'little', 'little', 'little', 'little']","['live', 'live', 'live', 'live', 'live']","['live', 'live', 'live', 'live', 'live']"
372,severe,"['here', 'here', 'here', 'here', 'here']","['here', 'here', 'heretofore', 'here', 'here']","['fear', 'fear', 'fears', 'fear', 'fears']"
373,gone,"['on', 'on', 'all', 'on', 'on']","['long', 'long', 'long', 'long', 'long']","['on', 'on', 'on', 'on', 'on']"
374,morning,"['when', 'when', 'when', 'when', 'when']","['more', 'more', 'more', 'more', 'more']","['leading', 'only', 'only', 'only', 'only']"
375,century,"['saved', 'saved', 'facing', 'facing', 'sure']","['tree', 'seeks', 'tree', 'tree', 'tree']","['mystic', 'spiritual', 'essence', 'jersey', 'straits']"
376,murfreesboro,"['rum', 'raw', 'our', 'our', 'bearer']","['former', 'former', 'murmur', 'were', 'rum']","['laurel', 'remote', 'raw', 'wore', 'wore']"
377,reader,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['beer', 'river', 'river', 'river', 'career']"
378,enemy,"['man', 'mating', 'man', 'man', 'indian']","['me', 'me', 'me', 'me', 'me']","['me', 'me', 'me', 'me', 'me']"
379,written,"['hand', 'hand', 'hand', 'hand', 'him']","['rent', 'reign', 'reign', 'rent', 'bent']","['hand', 'hand', 'hand', 'hand', 'hand']"
380,noted,"['no', 'no', 'no', 'no', 'no']","['new', 'new', 'no', 'no', 'no']","['needed', 'needed', 'knitted', 'renewed', 'matron']"
381,result,"['wry', 'trousers', 'literary', 'little', 'sealed']","['drizzle', 'rolled', 'trousers', 'eldest', 'is']","['little', 'little', 'little', 'little', 'little']"
382,effect,"['that', 'rags', 'half', 'half', 'half']","['fact', 'fact', 'fact', 'fact', 'fact']","['fact', 'fact', 'fact', 'fact', 'fact']"
383,bur,"['river', 'river', 'river', 'river', 'harbor']","['her', 'her', 'her', 'her', 'her']","['roar', 'or', 'or', 'or', 'or']"
384,patient,"['she', 'she', 'she', 'she', 'she']","['ancient', 'ancient', 'ancient', 'ancient', 'sheep']","['hate', 'hate', 'contingent', 'sheep', 'entity']"
385,charles,"['our', 'our', 'our', 'our', 'our']","['our', 'our', 'our', 'our', 'our']","['raw', 'coast', 'frolic', 'our', 'our']"
386,jim,"['him', 'em', 'him', 'em', 'em']","['him', 'him', 'him', 'him', 'him']","['him', 'him', 'him', 'him', 'him']"
387,keeps,"['to', 'to', 'to', 'to', 'to']","['keep', 'keep', 'keep', 'keep', 'keep']","['keep', 'keep', 'keep', 'keep', 'keep']"
388,plentiful,"['little', 'little', 'little', 'little', 'little']","['full', 'full', 'full', 'full', 'full']","['confluence', 'flow', 'healthful', 'won', 'beloved']"
389,loaves,"['little', 'little', 'little', 'little', 'little']","['low', 'low', 'low', 'low', 'low']","['little', 'little', 'little', 'little', 'little']"
390,nearest,"['are', 'are', 'are', 'are', 'are']","['rear', 'rumor', 'inured', 's', 'murmurs']","['inured', 'earnest', 'narrative', 'foetus', 'han']"
391,mildly,"['dialogue', 'wry', 'eye', 'london', 'eye']","['eye', 'eye', 'eye', 'eye', 'eye']","['smiling', 'smiling', 'grumblingly', 'gravely', 'smiled']"
392,started,"['at', 'at', 'at', 'narrow', 'at']","['at', 'at', 'at', 'at', 'haired']","['spotted', 'stair', 'martyr', 'headed', 'grated']"
393,news,"['knew', 'knew', 'knew', 'knew', 'knew']","['knew', 'knew', 'knew', 'knew', 'knew']","['new', 'new', 'new', 'new', 'new']"
394,their,"['a', 'are', 'are', 'are', 'are']","['are', 'are', 'are', 'are', 'are']","['her', 'her', 'her', 'her', 'her']"
395,enquired,"['wrung', 'her', 'rattling', 'her', 'her']","['cried', 'cried', 'cried', 'cried', 'cried']","['answered', 'replied', 'answered', 'answered', 'answered']"
396,if,"['cannot', 'vivid', 'countless', 'i', 'cannot']","['for', 'for', 'for', 'for', 'for']","['of', 'of', 'of', 'of', 'of']"
397,sir,"['she', 'she', 'she', 'she', 'she']","['so', 'so', 'so', 'so', 'so']","['so', 'so', 'so', 'so', 'so']"
398,wrong,"['all', 'all', 'all', 'all', 'all']","['long', 'long', 'long', 'long', 'long']","['long', 'long', 'long', 'long', 'long']"
399,bottles,"['all', 'all', 'all', 'all', 'all']","['sauce', 'udder', 'sauce', 'sauce', 'virgil']","['bottle', 'bottle', 'bottle', 'bottle', 'souls']"
400,latin,"['arians', 'out', 'out', 'rely', 'rational']","['vow', 'rational', 'madison', 'rag', 'loss']","['lad', 'lad', 'lad', 'latter', 'lad']"
401,servant,"['firm', 'them', 'them', 'them', 'them']","['us', 'us', 'us', 'us', 'us']","['inn', 'it', 'inn', 'it', 'it']"
402,season,"['sea', 'sea', 'sea', 'see', 'sea']","['seas', 'sea', 'sea', 'sea', 'sea']","['sea', 'sea', 'sea', 'sea', 'sea']"
403,lettuce,"['salad', 'salad', 'salad', 'salad', 'salad']","['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']"
404,myself,"['off', 'off', 'off', 'off', 'off']","['life', 'life', 'life', 'life', 'life']","['itself', 'itself', 'itself', 'itself', 'himself']"
405,bounty,"['del', 'bay', 'i', 'i', 'ladder']","['out', 'out', 'out', 'out', 'out']","['about', 'about', 'about', 'about', 'about']"
406,pommel,"['home', 'home', 'home', 'home', 'home']","['home', 'home', 'home', 'home', 'home']","['mom', 'home', 'home', 'all', 'home']"
407,persecutors,"['hers', 'jersey', 'her', 'labourers', 'divers']","['hers', 'jersey', 'hers', 'hers', 'version']","['makers', 'deceivers', 'readers', 'accessories', 'ministers']"
408,brine,"['wines', 'wines', 'wines', 'wine', 'wine']","['dine', 'wine', 'wine', 'wine', 'wine']","['dine', 'hide', 'wine', 'hide', 'wine']"
409,snow,"['all', 'all', 'all', 'all', 'all']","['know', 'know', 'know', 'know', 'know']","['stone', 'stone', 'stone', 'stone', 'stone']"
410,trial,"['nile', 'row', 'car', 'row', 'ardor']","['nile', 'child', 'child', 'child', 'child']","['nile', 'row', 'row', 'trot', 'thaw']"
411,hours,"['are', 'are', 'are', 'are', 'are']","['hour', 'hour', 'hour', 'hour', 'hour']","['hour', 'hour', 'hour', 'hour', 'hour']"
412,or,"['were', 'were', 'were', 'were', 'were']","['are', 'are', 'are', 'are', 'are']","['rear', 'barren', 'are', 'were', 'were']"
413,he,"['we', 'we', 'we', 'we', 'we']","['it', 'it', 'it', 'it', 'it']","['it', 'it', 'it', 'it', 'it']"
414,housemaid,"['how', 'how', 'how', 'how', 'how']","['house', 'house', 'house', 'house', 'house']","['house', 'house', 'house', 'house', 'house']"
415,clearing,"['merely', 'merely', 'merely', 'merely', 'merely']","['merely', 'merely', 'merely', 'merely', 'merely']","['clear', 'clear', 'clear', 'clear', 'clear']"
416,newspaper,"['knew', 'knew', 'knew', 'knew', 'knew']","['paper', 'paper', 'paper', 'soup', 'papers']","['new', 'new', 'new', 'new', 'new']"
417,peering,"['are', 'are', 'are', 'are', 'are']","['rear', 'mary', 'ear', 'mary', 'mary']","['carrying', 'carrying', 'carrying', 'carrying', 'carrying']"
418,absolute,"['last', 'last', 'last', 'last', 'last']","['losing', 'lose', 'blue', 'lose', 'last']","['essence', 'absolutely', 'laws', 'absolutely', 'speculative']"
419,circuit,"['said', 'said', 'said', 'said', 'said']","['sort', 'sort', 'sort', 'sort', 'sort']","['her', 'her', 'her', 'her', 'her']"
420,terribly,"['prayer', 'prayer', 'prayer', 'layer', 'awe']","['air', 'hair', 'hair', 'air', 'vladimir']","['horror', 'horror', 'horror', 'horror', 'horror']"
421,gradually,"['old', 'old', 'old', 'old', 'old']","['old', 'old', 'old', 'old', 'old']","['bean', 'bean', 'whirl', 'whirl', 'grow']"
422,emotion,"['inhale', 'in', 'in', 'in', 'in']","['in', 'in', 'in', 'in', 'in']","['in', 'in', 'in', 'in', 'in']"
423,school,"['cool', 'walls', 'wolves', 'walls', 'oil']","['schools', 'soul', 'soul', 'soul', 'sole']","['souls', 'soul', 'soul', 'soul', 'soul']"
424,split,"['tilted', 'nettle', 'dual', 'weighed', 'seizing']","['slopes', 'blood', 'sloping', 'blew', 'scalp']","['stretched', 'straw', 'slipped', 'slipped', 'set']"
425,purposes,"['his', 'his', 'his', 'his', 'his']","['his', 'his', 'his', 'his', 'his']","['purpose', 'purpose', 'purpose', 'recesses', 'his']"
426,gothic,"['all', 'all', 'all', 'all', 'all']","['cargo', 'grown', 'top', 'top', 'all']","['owed', 'owed', 'semi', 'beloved', 'often']"
427,another,"['the', 'the', 'the', 'the', 'the']","['other', 'other', 'other', 'other', 'other']","['other', 'other', 'other', 'other', 'other']"
428,exposed,"['undeceived', 'sick', 'named', 'coast', 'greatest']","['suited', 'greatest', 'stock', 'rules', 'rules']","['his', 'his', 'his', 'his', 'his']"
429,this,"['the', 'the', 'the', 'the', 'the']","['was', 'was', 'was', 'was', 'was']","['us', 'us', 'us', 'us', 'us']"
430,enterprise,"['prayer', 'prayer', 'lord', 'lord', 'dog']","['eyes', 'eyes', 'eyes', 'eyes', 'eyes']","['fire', 'fire', 'fire', 'fire', 'fire']"
431,comprehended,"['had', 'had', 'had', 'had', 'had']","['content', 'hair', 'hair', 'hair', 'hand']","['content', 'content', 'contingent', 'handed', 'attending']"
432,looks,"['the', 'the', 'the', 'the', 'the']","['look', 'look', 'look', 'look', 'look']","['look', 'look', 'look', 'look', 'look']"
433,resemblance,"['yard', 'honored', 'an', 'an', 'an']","['venture', 'ruins', 'rim', 'originals', 'render']","['rumbling', 'descendants', 'limit', 'merlin', 'roses']"
434,is,"['his', 'his', 'his', 'his', 'his']","['was', 'was', 'was', 'was', 'was']","['as', 'as', 'as', 'as', 'as']"
435,with,"['we', 'we', 'we', 'we', 'we']","['it', 'it', 'it', 'it', 'it']","['for', 'for', 'for', 'for', 'for']"
436,akin,"['king', 'in', 'king', 'king', 'ann']","['king', 'king', 'king', 'king', 'king']","['king', 'king', 'king', 'king', 'king']"
437,elaborate,"['la', 'rod', 'red', 'rod', 'montgomery']","['la', 'hour', 'hour', 'hour', 'lighter']","['liable', 'butler', 'butler', 'a', 'a']"
438,visitors,"['is', 'is', 'is', 'is', 'is']","['is', 'is', 'is', 'is', 'is']","['visits', 'visit', 'visit', 'visit', 'visit']"
439,dare,"['are', 'are', 'are', 'air', 'are']","['are', 'are', 'are', 'are', 'are']","['did', 'did', 'did', 'did', 'did']"
440,running,"['worn', 'worn', 'in', 'renewing', 'in']","['ring', 'rain', 'rain', 'ring', 'rain']","['ringing', 'ringing', 'removing', 'won', 'remote']"
441,missouri,"['were', 'were', 'were', 'were', 'were']","['mary', 'mary', 'mary', 'mary', 'mary']","['revered', 'deserved', 'mirrors', 'mirrors', 'deserved']"
442,hearts,"['her', 'her', 'her', 'her', 'her']","['us', 'us', 'us', 'us', 'us']","['spouse', 'us', 'us', 'us', 'us']"
443,rejoice,"['using', 'use', 'use', 'use', 'agree']","['joints', 'agree', 'gross', 'views', 'using']","['choose', 'shoes', 'join', 'shoes', 'diseases']"
444,sphere,"['ear', 'ear', 'ear', 'ear', 'ear']","['fear', 'hair', 'hair', 'hair', 'fury']","['misuse', 'revered', 'seriously', 'bigger', 'seriously']"
445,higher,"['high', 'high', 'high', 'high', 'our']","['high', 'high', 'high', 'high', 'high']","['high', 'high', 'high', 'high', 'high']"
446,buttoned,"['and', 'and', 'and', 'and', 'and']","['but', 'but', 'but', 'but', 'but']","['but', 'but', 'but', 'but', 'but']"
447,forced,"['for', 'for', 'for', 'for', 'for']","['forth', 'forth', 'forth', 'forth', 'for']","['forth', 'force', 'force', 'force', 'force']"
448,panada,"['add', 'udder', 'add', 'onion', 'add']","['udder', 'eh', 'atlanta', 'out', 'banner']","['canada', 'add', 'atlanta', 'add', 'pleroma']"
449,astonishment,"['she', 'she', 'fortune', 'she', 'she']","['auction', 'fortune', 'manichaeans', 'moments', 'penance']","['ascent', 'standards', 'enunciation', 'foetus', 'famous']"
450,generation,"['reign', 'iona', 'iona', 'reign', 'iona']","['reign', 'reign', 'nation', 'nation', 'edition']","['matron', 'pyncheon', 'pyncheon', 'deity', 'enraged']"
451,month,"['health', 'home', 'home', 'mom', 'island']","['health', 'health', 'mass', 'off', 'rough']","['health', 'mom', 'oath', 'them', 'path']"
452,servitude,"['she', 'she', 'she', 'she', 'she']","['churches', 'churches', 'churches', 'first', 'first']","['virtues', 'service', 'straits', 'served', 'to']"
453,value,"['raw', 'mating', 'sunrise', 'warrior', 'indian']","['you', 'you', 'you', 'you', 'you']","['values', 'wave', 'waverley', 'wave', 'wave']"
454,duties,"['you', 'you', 'you', 'you', 'you']","['duty', 'duty', 'you', 'you', 'you']","['duty', 'duty', 'beauty', 'beauty', 'beauty']"
455,varied,"['are', 'are', 'are', 'are', 'are']","['very', 'very', 'very', 'very', 'very']","['buried', 'very', 'very', 'buried', 'very']"
456,visible,"['little', 'little', 'little', 'little', 'little']","['his', 'his', 'busy', 'is', 'his']","['little', 'little', 'little', 'little', 'little']"
457,him,"['knew', 'knew', 'knew', 'knew', 'knew']","['he', 'he', 'he', 'he', 'he']","['in', 'in', 'in', 'in', 'in']"
458,stupid,"['preach', 'cool', 'cool', 'useless', 'volitions']","['fuel', 'rusks', 'rusks', 'street', 'street']","['despised', 'sid', 'praised', 'deed', 'superiors']"
459,painting,"['mean', 'name', 'mean', 'name', 'man']","['chains', 'changed', 'came', 'came', 'came']","['he', 'he', 'he', 'he', 'he']"
460,tears,"['air', 'harry', 'harry', 'harry', 'hear']","['here', 'here', 'here', 'here', 'here']","['ears', 'ears', 'ears', 'ears', 'ears']"
461,rendered,"['remainder', 'nearly', 'nearly', 'run', 'warm']","['remainder', 'rolled', 'rolled', 'roll', 're']","['earn', 'revered', 'earn', 'remainder', 'in']"
462,occurrences,"['is', 'is', 'is', 'is', 'is']","['is', 'is', 'phrases', 'is', 'is']","['senses', 'circles', 'circles', 'selves', 'primroses']"
463,double,"['wall', 'home', 'home', 'wall', 'home']","['oil', 'devil', 'oil', 'barrel', 'mural']","['pole', 'pole', 'level', 'ball', 'gold']"
464,awake,"['oil', 'oil', 'way', 'way', 'way']","['way', 'way', 'way', 'way', 'way']","['away', 'away', 'away', 'away', 'away']"
465,centuries,"['museum', 'museum', 'riches', 'seas', 'newly']","['treasures', 'seas', 'tree', 'treasure', 'tree']","['gazes', 'cities', 'readers', 'features', 'extermination']"
466,exact,"['ex', 'ex', 'ex', 'sized', 'adopt']","['ex', 'ex', 'ex', 'success', 'success']","['the', 'exactly', 'the', 'the', 'the']"
467,ache,"['davy', 'aid', 'bait', 'eat', 'offering']","['aid', 'age', 'age', 'day', 'age']","['age', 'age', 'age', 'age', 'age']"
468,six,"['says', 'says', 'as', 'says', 'says']","['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']"
469,reversed,"['river', 'river', 'raw', 'river', 'drawer']","['roof', 'roof', 'roof', 'roof', 'roof']","['roof', 'roof', 'roof', 'roof', 'roof']"
470,talents,"['half', 'how', 'half', 'half', 'how']","['half', 'half', 'half', 'half', 'half']","['gallant', 'tide', 'file', 'fat', 'amount']"
471,placed,"['swiss', 'prince', 'essential', 'sensed', 'princess']","['place', 'place', 'place', 'place', 'place']","['spouse', 'faced', 'deed', 'blessed', 'praised']"
472,favourite,"['george', 'george', 'george', 'george', 'george']","['george', 'george', 'george', 'george', 'george']","['scriptures', 'faith', 'fantasies', 'matron', 'papers']"
473,considered,"['sincerely', 'sympathetic', 'his', 'his', 'his']","['deserted', 'rooted', 'suns', 'seated', 'vigour']","['deserted', 'serge', 'recesses', 'revered', 'risen']"
474,might,"['lying', 'lie', 'han', 'on', 'on']","['i', 'i', 'i', 'i', 'my']","['man', 'hand', 'hand', 'hand', 'hand']"
475,inside,"['device', 'a', 'i', 'line', 'i']","['eyes', 'eyes', 'eyes', 'eyes', 'eyes']","['side', 'side', 'side', 'side', 'side']"
476,seemingly,"['mean', 'name', 'name', 'mean', 'name']","['seen', 'seem', 'seem', 'seen', 'seem']","['limit', 'believing', 'ink', 'leaning', 'idiom']"
477,published,"['she', 'she', 'she', 'she', 'she']","['flushed', 'flushed', 'slid', 'swift', 'to']","['which', 'which', 'which', 'which', 'which']"
478,thou,"['all', 'all', 'i', 'i', 'i']","['art', 'art', 'art', 'i', 'i']","['the', 'the', 'the', 'the', 'the']"
479,understood,"['annoyance', 'knew', 'knew', 'knew', 'knew']","['to', 'to', 'to', 'to', 'to']","['sutter', 'reviewers', 'stood', 'standards', 'tuition']"
480,decorative,"['of', 'frederick', 'of', 'of', 'of']","['of', 'of', 'of', 'of', 'of']","['of', 'of', 'frederick', 'of', 'of']"
481,attacks,"['rice', 'piled', 'pressing', 'sold', 'household']","['ex', 'ex', 'tartaric', 'attack', 'half']","['attack', 'attack', 'attack', 'attack', 'attack']"
482,experience,"['dreaming', 'ceremonies', 'theirs', 'man', 'raw']","['period', 'period', 'period', 'period', 'period']","['fantasies', 'scriptures', 'superiors', 'histories', 'matron']"
483,residences,"['is', 'is', 'is', 'is', 'is']","['is', 'is', 'is', 'is', 'is']","['roses', 'as', 'as', 'recesses', 'as']"
484,pulse,"['all', 'all', 'all', 'all', 'all']","['whole', 'whole', 'whole', 'whole', 'whole']","['pulp', 'all', 'all', 'all', 'all']"
485,why,"['while', 'while', 'while', 'while', 'while']","['while', 'while', 'while', 'while', 'while']","['while', 'while', 'while', 'while', 'while']"
486,those,"['little', 'little', 'little', 'little', 'little']","['sow', 'so', 'so', 'so', 'so']","['loathe', 'insist', 'silly', 'as', 'as']"
487,hands,"['hand', 'hand', 'hand', 'hand', 'hand']","['hand', 'hand', 'hand', 'hand', 'hand']","['hand', 'hand', 'hand', 'hand', 'hand']"
488,attached,"['chef', 'chefs', 'chef', 'fish', 'fish']","['half', 'latch', 'half', 'half', 'half']","['attack', 'attack', 'attack', 'attack', 'attack']"
489,presence,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['substance', 'fantasies', 'us', 'offences', 'us']"
490,wrote,"['were', 'were', 'were', 'were', 'were']","['were', 'were', 'were', 'were', 'were']","['rode', 'rode', 'rode', 'rode', 'road']"
491,primitive,"['her', 'her', 'her', 'her', 'her']","['women', 'of', 'rim', 'of', 'of']","['confounded', 'rugged', 'period', 'period', 'sensitive']"
492,surface,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']"
493,saluted,"['little', 'little', 'little', 'little', 'little']","['sewed', 'little', 'little', 'little', 'little']","['loosely', 'rudely', 'rooted', 'deserted', 'loaded']"
494,christmas,"['says', 'says', 'says', 'says', 'says']","['us', 'christmases', 'us', 'us', 'us']","['slices', 'slices', 'slices', 'christmases', 'recesses']"
495,delicacy,"['obediently', 'jealousy', 'duties', 'late', 'see']","['as', 'as', 'as', 'as', 'as']","['aidan', 'vindicated', 'sincerity', 'facing', 'leniency']"
496,waited,"['elder', 'view', 'yell', 'rosy', 'baby']","['it', 'it', 'it', 'it', 'it']","['awaited', 'awaited', 'waiting', 'awaited', 'waiting']"
497,study,"['lee', 'lee', 'b', 'sea', 'sea']","['see', 'see', 'see', 'see', 'see']","['sea', 'sea', 'sea', 'seeds', 'sea']"
498,upon,"['on', 'on', 'on', 'on', 'on']","['on', 'on', 'on', 'on', 'on']","['on', 'on', 'on', 'on', 'on']"
499,flame,"['mean', 'mean', 'mean', 'lay', 'dying']","['seemed', 'mean', 'mean', 'seemed', 'mean']","['fame', 'fume', 'womb', 'frame', 'simmonds']"
500,musicians,"['she', 'she', 'she', 'she', 'she']","['as', 'as', 'as', 'as', 'as']","['his', 'his', 'his', 'his', 'his']"
501,attitude,"['age', 'man', 'religion', 'hidden', 'ordeal']","['it', 'it', 'it', 'it', 'it']","['imagine', 'the', 'vivid', 'the', 'the']"
502,bade,"['age', 'age', 'age', 'age', 'age']","['pay', 'paid', 'obeyed', 'paid', 'paid']","['degraded', 'bigger', 'made', 'made', 'revered']"
503,visits,"['is', 'is', 'is', 'is', 'is']","['is', 'is', 'is', 'is', 'is']","['visit', 'visit', 'visit', 'visit', 'visit']"
504,loose,"['new', 'new', 'new', 'new', 'new']","['use', 'use', 'use', 'use', 'use']","['lose', 'lose', 'use', 'lose', 'use']"
505,butter,"['river', 'order', 'river', 'river', 'her']","['water', 'her', 'her', 'her', 'water']","['water', 'water', 'water', 'water', 'water']"
506,abstraction,"['should', 'should', 'should', 'should', 'should']","['pigeon', 'pigeon', 'pigeon', 'fraction', 'capture']","['action', 'action', 'action', 'action', 'destruction']"
507,individual,"['an', 'an', 'an', 'an', 'an']","['in', 'in', 'in', 'in', 'in']","['in', 'limit', 'union', 'in', 'in']"
508,tossed,"['stacy', 'stacy', 'thomas', 'stacy', 'stacy']","['talk', 'talked', 'talk', 'talk', 'talk']","['toss', 'talked', 'talked', 'talked', 'talks']"
509,quantity,"['quarter', 'be', 'stirring', 'be', 'valuable']","['to', 'to', 'to', 'to', 'to']","['to', 'to', 'to', 'to', 'to']"
510,prevented,"['fight', 'of', 'of', 'of', 'post']","['fifth', 'of', 'veil', 'zealand', 'driven']","['confounded', 'admit', 'frederick', 'fermented', 'vindicated']"
511,harsh,"['karl', 'karl', 'hof', 'hears', 'heart']","['hearts', 'hard', 'hard', 'hearts', 'hard']","['hof', 'fresh', 'fresh', 'hof', 'fresh']"
512,sixty,"['ease', 'sea', 'sea', 'sea', 'see']","['sea', 'sea', 'sea', 'see', 'sea']","['deity', 'tea', 'sea', 'deed', 'sea']"
513,cauliflower,"['all', 'all', 'all', 'all', 'all']","['la', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']"
514,scolded,"['so', 'so', 'so', 'so', 'so']","['old', 'old', 'old', 'old', 'old']","['ghoul', 'seldom', 'chiselled', 'was', 'was']"
515,despicable,"['a', 'intellect', 'it', 'it', 'succeeded']","['city', 'rules', 'rules', 'table', 'table']","['the', 'the', 'the', 'the', 'the']"
516,thrusting,"['sensation', 'sheet', 'slight', 'she', 'she']","['striking', 'trust', 'trust', 'slight', 'sorts']","['trust', 'trust', 'clutch', 'disgust', 'such']"
517,spare,"['are', 'are', 'are', 'are', 'are']","['fair', 'fair', 'fair', 'fair', 'fair']","['restore', 'restore', 'sphere', 'solve', 'fervor']"
518,whereby,"['i', 'were', 'i', 'i', 'were']","['i', 'i', 'i', 'i', 'i']","['by', 'by', 'by', 'by', 'by']"
519,using,"['me', 'me', 'me', 'me', 'me']","['you', 'you', 'you', 'you', 'you']","['lean', 'deity', 'lean', 'bean', 'use']"
520,meeting,"['me', 'me', 'me', 'me', 'me']","['me', 'me', 'me', 'me', 'me']","['me', 'me', 'me', 'me', 'me']"
521,motion,"['known', 'relating', 'han', 'jane', 'beating']","['emotions', 'moan', 'emotions', 'new', 'new']","['moan', 'emotions', 'join', 'rudely', 'limit']"
522,wondered,"['original', 'original', 'known', 'known', 'were']","['one', 'one', 'one', 'one', 'one']","['wonder', 'remembered', 'remembered', 'wind', 'wind']"
523,guards,"['are', 'are', 'are', 'are', 'are']","['god', 'god', 'god', 'god', 'god']","['guard', 'guard', 'guard', 'gods', 'guard']"
524,vice,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']"
525,arrangement,"['managerial', 'arrange', 'arranging', 'around', 'wrinkles']","['reign', 'arrange', 'january', 'drinks', 'ranges']","['regiment', 'regiment', 'regiment', 'tuning', 'remaining']"
526,entreaty,"['you', 'you', 'you', 'you', 'you']","['trees', 'trees', 'trees', 'trees', 'trees']","['v', 'v', 'believing', 'ink', 'be']"
527,accepted,"['a', 'could', 'could', 'could', 'a']","['receptive', 'sex', 'ticks', 'type', 'had']","['the', 'the', 'the', 'the', 'the']"
528,that,"['the', 'the', 'the', 'the', 'the']","['the', 'the', 'the', 'the', 'the']","['the', 'the', 'the', 'the', 'the']"
529,pilgrims,"['little', 'little', 'little', 'little', 'little']","['fold', 'ruled', 'moving', 'reveal', 'laurel']","['blooming', 'fathers', 'rebels', 'movables', 'bubbles']"
530,once,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['one', 'one', 'one', 'one', 'one']"
531,denial,"['eye', 'eye', 'eye', 'eye', 'eye']","['nile', 'eye', 'eye', 'eye', 'eye']","['nile', 'mom', 'armine', 'tahoe', 'cow']"
532,much,"['shop', 'wet', 'watched', 'watched', 'statues']","['us', 'us', 'leash', 'us', 'us']","['fantasies', 'us', 'them', 'glance', 'them']"
533,implicitly,"['place', 'place', 'place', 'place', 'slice']","['previously', 'slightest', 'simply', 'intimately', 'slightest']","['consist', 'decency', 'was', 'was', 'was']"
534,allspice,"['buns', 'buns', 'buns', 'buns', 'rusks']","['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']"
535,nourishing,"['known', 'known', 'known', 'drinking', 'known']","['known', 'known', 'learned', 'known', 'known']","['inured', 'han', 'in', 'in', 'in']"
536,perceiving,"['leaning', 'leaned', 'seeing', 'leaning', 'seeing']","['see', 'see', 'see', 'see', 'see']","['he', 'he', 'he', 'he', 'he']"
537,ruined,"['room', 'were', 'room', 'were', 'were']","['room', 'room', 'room', 'room', 'room']","['ruin', 'rule', 'whirl', 'new', 'room']"
538,won,"['one', 'one', 'one', 'one', 'one']","['one', 'one', 'one', 'one', 'one']","['one', 'one', 'one', 'one', 'one']"
539,labours,"['rulers', 'emperors', 'newly', 'awakened', 'age']","['rulers', 'emperors', 'rear', 'allay', 'bear']","['waverley', 'roses', 'waverley', 'wave', 'ward']"
540,certainly,"['original', 'original', 'assure', 'render', 'threw']","['only', 'only', 'only', 'only', 'only']","['certain', 'certain', 'certain', 'certain', 'certain']"
541,range,"['arrange', 'e', 'daring', 'commander', 'engineer']","['arrange', 'arranged', 'rain', 'rain', 'rain']","['arranged', 'change', 'arranged', 'change', 'change']"
542,decay,"['hay', 'eight', 'day', 'day', 'day']","['day', 'day', 'day', 'day', 'day']","['day', 'day', 'day', 'day', 'day']"
543,essential,"['shall', 'shall', 'shall', 'shall', 'shall']","['a', 'a', 'a', 'a', 'a']","['sense', 'sense', 'sense', 'sense', 'sense']"
544,thy,"['i', 'i', 'i', 'i', 'i']","['i', 'i', 'i', 'i', 'i']","['my', 'my', 'my', 'my', 'my']"
545,comfort,"['shaken', 'kick', 'cook', 'part', 'part']","['from', 'from', 'from', 'from', 'for']","['for', 'for', 'for', 'for', 'for']"
546,ugly,"['levelled', 'levelled', 'laid', 'led', 'little']","['little', 'little', 'little', 'little', 'little']","['la', 'little', 'other', 'little', 'little']"
547,thanks,"['sixty', 'critics', 'inclined', 'tedious', 'sixty']","['things', 'things', 'things', 'things', 'things']","['face', 'face', 'face', 'face', 'face']"
548,fellows,"['awe', 'all', 'all', 'all', 'all']","['powers', 'powers', 'nose', 'lava', 'lava']","['laws', 'cells', 'below', 'oath', 'below']"
549,crossing,"['cargo', 'morocco', 'crown', 'lock', 'calls']","['across', 'across', 'cross', 'across', 'cross']","['cross', 'cross', 'cross', 'cross', 'cross']"
